contact_id,title,company,email_status,seniority,department,city,state,industry
1,Realtor,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
2,Real Estate Agent,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
3,Realtor,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
4,Realtor,Intero Real Estate Services,Extrapolated,Entry,Operations,Saratoga,California,real estate
5,Realtor,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
6,Realtor,Intero Real Estate Services,Unavailable,Entry,Operations,Saratoga,California,real estate
7,Realtor,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
8,Realtor,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
9,Real Estate Sales,Intero Real Estate Services,Verified,Entry,"Operations, Sales",Saratoga,California,real estate
10,Real Estate Consultant,Intero Real Estate Services,Verified,Entry,"Operations, Consulting",Saratoga,California,real estate
11,Realtor,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
12,Property Manager Residential,Real Estate Connections,Verified,Manager,Operations,Saratoga,California,real estate
13,Realtor,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
14,Real Estate Agent,Intero Real Estate,Unavailable,Entry,Operations,Saratoga,California,real estate
15,Realtor,Intero Real Estate Services,Unavailable,Entry,Operations,Saratoga,California,real estate
16,Residential Real Estate Agent,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
17,Real Estate Agent,Intero Real Estate,Verified,Entry,Operations,Saratoga,California,real estate
18,Founder/Broker Associate,Redefine Real Estate,Verified,Founder,C-Suite,Saratoga,California,real estate
19,Owner,Intero Real Estate Services,Verified,Owner,Unknown,Saratoga,California,real estate
20,Realtor @ Intero Real Estate Services,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
21,Broker Associate/Realtor,Intero Real Estate Services,Unavailable,Entry,Operations,Saratoga,California,real estate
22,Real Estate Broker,Intero Real Estate Services,Verified,Entry,Operations,Saratoga,California,real estate
23,Owner / Founder,Trajectory Real Estate,Verified,Owner,C-Suite,Saratoga,California,real estate
24,Real Estate Sales,Lyon Real Estate,Verified,Entry,"Operations, Sales",Saratoga,California,real estate
25,Real Estate Agent,Intero Real Estate Services,Extrapolated,Entry,Operations,Saratoga,California,real estate
